hour,request_count,total_tokens,input_tokens,output_tokens,estimated_cost,success_rate,error_rate,rate_limit_rate,server_error_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,p95_first_token_latency_ms,queue_p95_ms,active_customers,active_keys,distinct_ips,safety_hit_rate,retry_rate,cache_hit_rate,fallback_rate,reasoning_tokens,tokens_per_request,output_input_ratio,cost_per_request,cost_per_success,reasoning_token_share,truth_ids,truth_types,is_ground_truth,score_mad,top_metric_mad,score_stl,top_metric_stl,score_isolation_forest,pred_isolation_forest,pred_composite_rules,score_composite_rules,pred_mad,pred_stl
2026-06-22 00:00:00,24,16356,10199,6157,0.0225,87.5,12.5,4.1667,0.0,6755.0,10024.95,11501.22,8398.4,146.0,9,17,17,0.0,0.0,29.1667,0.0,939,681.5,0.6037,0.0009,0.0011,15.2509,,,False,0.0,insufficient_history,0.7646396406046664,p95_latency_ms,-0.06350905671313756,False,False,0.0,False,False
2026-06-22 01:00:00,21,15554,10111,5443,0.0193,100.0,0.0,0.0,0.0,7265.0,9793.0,11043.4,9620.0,129.0,8,16,15,4.7619,4.7619,14.2857,0.0,960,740.6667,0.5383,0.0009,0.0009,17.6373,,,False,0.0,insufficient_history,0.5859261614670551,tokens_per_request,-0.10229476364476975,False,False,0.0,False,False
2026-06-22 02:00:00,20,12583,8813,3770,0.0151,90.0,10.0,0.0,5.0,6569.0,7956.35,8387.27,7500.3,180.2,9,15,15,0.0,5.0,5.0,0.0,565,629.15,0.4278,0.0008,0.0008,14.9867,,,False,0.0,insufficient_history,0.5238419107233087,tokens_per_request,-0.10103904928381807,False,False,0.0,False,False
2026-06-22 03:00:00,14,9770,6614,3156,0.0125,100.0,0.0,0.0,0.0,7052.0,8023.85,8112.77,7247.5,140.0,7,11,13,7.1429,7.1429,14.2857,0.0,647,697.8571,0.4772,0.0009,0.0009,20.5006,,,False,0.0,insufficient_history,0.5743425614117431,p95_latency_ms,-0.07271470406653607,False,False,0.0,False,False
2026-06-22 04:00:00,21,14154,11084,3070,0.0173,90.4762,9.5238,0.0,4.7619,6393.0,9497.0,9570.6,8960.0,155.0,10,14,17,4.7619,4.7619,33.3333,0.0,494,674.0,0.277,0.0008,0.0009,16.0912,,,False,0.0,insufficient_history,0.6806406685918232,tokens_per_request,-0.1120423835114786,False,False,0.0,False,False
2026-06-22 05:00:00,23,16403,10720,5683,0.021,100.0,0.0,0.0,0.0,6792.0,10437.9,11266.94,9557.4,118.6,8,13,16,0.0,0.0,13.0435,0.0,935,713.1739,0.5301,0.0009,0.0009,16.4526,,,False,0.0,insufficient_history,0.54101281298952,request_count,-0.09586733793610464,False,False,0.0,False,False
2026-06-22 06:00:00,59,42681,29108,13573,0.0526,96.6102,3.3898,0.0,1.6949,6630.0,9812.1,11435.6,8975.2,142.4,10,24,30,1.6949,5.0847,20.339,0.0,2173,723.4068,0.4663,0.0009,0.0009,16.0097,,,False,0.0,insufficient_history,0.615897757199467,p95_latency_ms,-0.15271666117262145,False,False,0.0,False,False
2026-06-22 07:00:00,57,35335,25263,10072,0.0431,98.2456,1.7544,1.7544,0.0,6569.0,8309.0,9778.84,7500.8,200.8,9,23,29,3.5088,3.5088,8.7719,0.0,1601,619.9123,0.3987,0.0008,0.0008,15.8956,,,False,0.0,insufficient_history,0.4597271794815139,tokens_per_request,-0.13959137214498585,False,False,0.0,False,False
2026-06-22 08:00:00,55,32793,23391,9402,0.0411,100.0,0.0,0.0,0.0,6536.0,9767.7,10358.02,9490.9,153.8,10,22,27,1.8182,5.4545,14.5455,1.8182,1626,596.2364,0.4019,0.0007,0.0007,17.2942,,,False,0.0,insufficient_history,1.103372829816251,p95_latency_ms,-0.057748267067962766,False,False,0.0,False,False
2026-06-22 09:00:00,101,70560,50753,19807,0.0887,98.0198,1.9802,1.9802,0.0,6530.0,9031.0,9870.0,8399.0,157.0,10,29,31,0.9901,1.9802,19.802,0.0,2883,698.6139,0.3903,0.0009,0.0009,14.5555,,,False,0.0,insufficient_history,0.828841874728659,request_count,-0.14662949419757454,False,False,0.0,False,False
2026-06-22 10:00:00,107,70185,48749,21436,0.0873,95.3271,4.6729,0.9346,1.8692,6695.0,10190.1,10658.7,9568.9,164.0,10,28,34,1.8692,6.5421,21.4953,0.9346,3688,655.9346,0.4397,0.0008,0.0009,17.2047,,,False,0.0,insufficient_history,0.5897230431317458,request_count,-0.1302979535943003,False,False,0.0,False,False
2026-06-22 11:00:00,111,70327,48934,21393,0.0898,96.3964,3.6036,0.9009,0.9009,6473.0,8935.0,10617.1,7935.5,158.5,10,27,33,0.0,2.7027,11.7117,0.9009,3493,633.5766,0.4372,0.0008,0.0008,16.3278,,,False,0.0,insufficient_history,0.48348377558698796,total_tokens,-0.15861723673893674,False,False,0.0,False,False
2026-06-22 12:00:00,103,64393,44928,19465,0.0821,98.0583,1.9417,0.9709,0.0,6645.0,9027.0,10566.38,8596.6,159.9,10,28,33,0.9709,1.9417,21.3592,0.0,3086,625.1748,0.4332,0.0008,0.0008,15.8541,,,False,1.7199031400653269,request_count,0.9635739851591871,request_count,-0.1686266104470036,False,False,0.0,False,False
2026-06-22 13:00:00,114,76165,53450,22715,0.0974,94.7368,5.2632,0.0,3.5088,6571.5,9642.5,10554.36,9120.9,141.7,10,28,34,1.7544,1.7544,17.5439,0.0,3576,668.114,0.425,0.0009,0.0009,15.7429,,,False,1.9393026419927908,server_error_rate,0.6611448304117248,p95_latency_ms,-0.1516979638018613,False,False,0.0,False,False
